slug,peak_tvl,current_tvl,drawdown_from_peak,tvl_30d_change,tvl_90d_change,volatility,lifespan_days,consecutive_decline_days,data_points,label,name,category,avax_only
excellion-finance,263530.0,29711.0,0.8872576177285318,-0.7859797735327168,-0.8507069712287331,0.2676745710085375,131,58,133,alive,Excellion Finance,Risk Curators,True
arena-launch,165470.0,26857.0,0.837692633105699,-0.3319071664883958,-0.5795619980901989,0.41922754547817287,292,97,294,alive,Arena Launch,Launchpad,True
hakuswap,408227.0,0.0,1.0,0.0,0.0,2.7186355939209297,1503,662,1504,alive,HakuSwap,Dexs,True
vector-finance,15102979.0,0.0,1.0,0.0,-0.9999954319752595,1.4360132468204987,1448,560,1132,alive,Vector Finance,Yield,True
cycle-finance,659545.0,0.0,1.0,0.0,0.0,2.9516192135720214,1534,459,1536,alive,Cycle Finance,Yield Aggregator,True
baguette,5376154.0,19592.0,0.9963557591542207,-0.33735795454545453,-0.4867045662937832,1.9153812573296365,1772,920,1774,alive,Baguette,Dexs,True
struct-finance,12471721.0,19348.0,0.9984486503506613,-0.22684408215455926,-0.33731762449482844,2.109078000305731,973,376,975,alive,Struct Finance,Yield,True
stabilize,305207.0,0.0,1.0,0.0,0.0,7.01307779751363,1561,168,1561,alive,Stabilize,CDP,True
boofinance,3720422.0,0.0,1.0,0.0,0.0,4.117317908457466,1510,364,1512,alive,BooFinance,Yield,True
sherpa-cash,1860372.0,13693.0,0.9926396441141879,-0.28780944456001667,-0.4478448449659288,2.361415803028741,1428,743,1430,alive,Sherpa Cash,Privacy,True
teddy-cash,106915466.0,13025.0,0.9998781747815606,-0.28628568297627527,-0.4437849609291601,4.17162370760277,1628,819,1630,alive,Teddy Cash,CDP,True
cavalre,2038485.0,11950.0,0.9941378033196222,-0.15174959188019022,-0.21571072319201995,1.6871293959484188,897,372,899,alive,CavalRe,Dexs,True
kuu-finance,3779376.0,11300.0,0.9970100884378796,-0.008336258336258336,-0.21564408661854526,3.1372599103025967,786,386,749,alive,Kuu Finance,Dexs,True
orcadao,3784094.0,18102.0,0.9952162921957013,0.00016574585635359117,0.01650850693469594,3.4607389819976464,1520,742,1522,dead,OrcaDAO,Lending,True
banksy-farm,36763.0,785.0,0.9786470092212278,-0.048426150121065374,-0.10068649885583524,1.8475629147148798,1518,739,1520,dead,Banksy Farm,Yield,True
solisnek-finance,13765557.0,9217.0,0.999330430290616,-0.07902887401338796,-0.13914830033619724,3.568422888123536,1051,576,1053,dead,SoliSnek Finance,Dexs,True
yetiswap,2987383.0,8976.0,0.9969953635004283,-0.24429665796784242,-0.3928716353307182,1.7811357321195718,1776,834,1777,dead,YetiSwap,Dexs,True
embr-finance,2233813.0,8693.0,0.9961084477527886,-0.023913775682047826,-0.04691953518965139,2.985330060631695,1526,801,1516,dead,Embr Finance,Dexs,True
glacier-exchange-v2,873205.0,196.0,0.9997755395353898,-0.3230240549828179,-0.4718498659517426,2.315000635699929,1060,458,1062,dead,Glacier Exchange V2,Dexs,True
moremoney,14232086.0,7483.0,0.9994742162181988,0.005508531506113127,-0.009266613714588298,2.4093344897785363,1491,728,1438,dead,Moremoney,Lending,True
alligator,189810.0,0.0,1.0,0.0,0.0,4.385522847220666,1488,480,1490,dead,Alligator,Dexs,True
baki,61197.0,5967.0,0.9024952203539389,0.00016758840288252054,-0.0005024284039524368,1.0739595637659685,847,241,848,dead,Baki,CDP,True
zabu-finance,15316257.0,5491.0,0.9996414920433889,-0.174755822689707,-0.2844299674267101,8.748863532881616,1643,856,1645,dead,Zabu Finance,Yield Aggregator,True
dripit,8423.0,4292.0,0.4904428350943844,-0.021649954421148587,-0.2496067121132669,0.22601220558957483,288,82,290,dead,dripit,Prediction Market,True
partyswap,902958.0,4256.0,0.9952866024776346,-0.2674238513164688,-0.608047141147224,2.541742814382706,1542,802,1544,dead,PartySwap,Dexs,True
avalps,397503.0,0.0,1.0,0.0,0.0,9.331002767732546,1518,50,1520,dead,Avalps,Reserve Currency,True
cryptoyieldfocus,824215.0,3377.0,0.9959027680884235,-0.0017730496453900709,-0.13561924257932445,4.723072503402208,765,386,728,dead,CryptoYieldFocus,Farm,True
blizzard,11610280.0,2535.0,0.9997816590125302,-0.027234369006520907,-0.3773631230051559,3.508313623199615,741,357,704,dead,Blizzard,Yield,True
glacier-exchange-v3,137903.0,2290.0,0.983394124855877,-0.00391304347826087,-0.006935413957520589,2.669236654894668,878,347,880,dead,Glacier Exchange V3,Dexs,True
subzero-zswap,110666.0,2093.0,0.9810872354652739,-0.27966976264189886,-0.44720168954593453,1.0427453985487622,1230,580,1232,dead,Subzero ZSwap,Dexs,True
spiritdao,1706023.0,0.0,1.0,0.0,0.0,10.776817165562345,1525,192,1527,dead,SpiritDAO,Reserve Currency,True
ara-finance,87701.0,0.0,1.0,0.0,0.0,2.3358968908478133,1521,453,1523,dead,Ara Finance,Reserve Currency,True
printyfinance,3300.0,1281.0,0.6118181818181818,-0.01156515034695451,0.7513661202185792,0.7302410413051909,1039,44,1041,dead,printyfinance,Dexs,True
