name,category,tvl_usd,num_chains,avax_only,slug
Clearpool Lending,Uncollateralized Lending,629285.0422545256,9,False,clearpool-lending
Umami Finance,Yield,617492.8628898079,2,False,umami-finance
Ajna V2,Lending,591703.0441458131,13,False,ajna-v2
Hashflow,DEX Aggregator,576679.8294396861,6,False,hashflow
Tarot,Lending,566426.6099449473,13,False,tarot
NerveBridge,Bridge,551609.5832496514,38,False,nervebridge
BIM,Yield Aggregator,518955.4362124845,12,False,bim
Beta Finance V1,Lending,508033.0783621677,2,False,beta-finance-v1
Sablier Legacy,Payments,482689.3358249335,7,False,sablier-legacy
RadioShack,Dexs,475682.22359279956,8,False,radioshack
Secured Finance Lending,Lending,442113.91737197735,5,False,secured-finance-lending
Yield Yak Staked Avax,Liquid Staking,440093.5085915282,1,True,yield-yak-staked-avax
Geode,Liquid Staking,436930.47044534486,1,True,geode
Antfarm finance,Liquidity manager,434433.12889662146,4,False,antfarm-finance
Octus Bridge,Bridge,409832.95860897325,6,False,octus-bridge
Cytonic Airdrop Campaign,Farm,407820.002367697,11,False,cytonic-airdrop-campaign
VaporDex V1,Dexs,397014.5316389227,3,False,vapordex-v1
FortiFi,Yield Aggregator,395702.168790151,1,True,fortifi
Knit Finance,Bridge,383875.6141403846,18,False,knit-finance
88mph,Lending,383801.7979927593,4,False,88mph
Ante Finance,Insurance,380979.19587380707,8,False,ante-finance
Prime Protocol,Lending,366012.462679929,9,False,prime-protocol
Pangolin V3,Dexs,362064.6311401191,2,False,pangolin-v3
Salvor,NFT Marketplace,350619.86925307586,1,True,salvor
BoringDAO,Cross Chain Bridge,330757.9940159646,20,False,boringdao
Iron Finance,CDP,315969.83359933336,3,False,iron-finance
Jarvis Network,Derivatives,296223.43496704235,6,False,jarvis-network
Snowball,Yield,295577.7783308485,1,True,snowball
Napier,Yield,284158.18613172387,11,False,napier
Clovis,Yield Aggregator,282946.8739003367,10,False,clovis
Latoken,CEX,276087.2541803085,19,False,latoken
Sushi Trident,Dexs,274513.6762576784,8,False,sushi-trident
Diamondswap,Dexs,268605.7624002319,5,False,diamondswap
Dyson,Liquidity manager,258222.2526639757,7,False,dyson
SeaFi,Yield,237497.11984386755,1,True,seafi
OnX Finance,Yield Aggregator,235049.08618854667,4,False,onx-finance
Voltz,Derivatives,232871.09790520146,3,False,voltz
Elk,Dexs,219033.54747551776,31,False,elk
ShimmerBridge,Bridge,209251.57856369656,8,False,shimmerbridge
Iron Bank,Lending,209126.22069995597,4,False,iron-bank
OpenOcean,DEX Aggregator,184971.75876972405,8,False,openocean
Arena SocialFi,SoFi,183271.10163712213,1,True,arena-socialfi
Balmy,DCA Tools,182513.4124060628,10,False,balmy
Impossible Finance,Launchpad,177594.1447848628,7,False,impossible-finance
Joe V2,Dexs,157462.89640783146,3,False,joe-v2
Granary Finance,Lending,152886.80558936234,8,False,granary-finance
Xave Finance,Dexs,150000.58057916194,3,False,xave-finance
Float,Derivatives,144357.96676461876,2,False,float
Sushi Kashi,Lending,142338.75279725032,5,False,sushi-kashi
Varlamore Capital,Risk Curators,140175.93498715456,4,False,varlamore-capital
Nested,Indexes,136587.85503253771,6,False,nested
InsurAce,Insurance,133820.602679136,4,False,insurace
CrossCurve,Cross Chain Bridge,129417.9568883502,20,False,crosscurve
Cook Finance,Indexes,127049.55868304943,4,False,cook-finance
Colony,Yield,119967.68626185045,1,True,colony
