slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
diamondswap,Diamondswap,Dexs,,,5.0,0,5,alive,avax_core,1,1,442,442,43.27642,341107.61730000004,341064.34088000003,0.00012687028317499843,2.0,1.0,1,core_eligible,
dodo-amm,DODO AMM,Dexs,parent#dodo,,15.0,0,15,alive,avax_core,1,1,879,1839,1847660.63037,12771560.99144,10923900.36107,0.14466991400725207,10.0,1.0,1,core_eligible,
domani-protocol,Domani Protocol,Indexes,,dextf,3.0,0,3,alive,avax_core,1,1,1053,1810,782.40496,96167.64411,95385.23915,0.008135844100590185,1.0,1.0,1,core_eligible,
donaswap-v2,DONASWAP V2,Dexs,,,29.0,0,29,dead,avax_core,1,1,519,519,0.0,1.01802,1.01802,0.0,0.0,1.0,1,core_eligible,
dripit,dripit,Prediction Market,,,1.0,1,1,dead,avax_core,1,1,301,301,3676.26172,3676.26172,0.0,1.0,0.0,0.947397,1,core_eligible,
dumpex,DumpEX,Farm,,,11.0,0,11,dead,avax_core,1,1,709,709,0.08995,4.843829999999999,4.753879999999999,0.01857001587586683,0.0,1.0,1,core_eligible,
dxsale,DxSale,Launchpad,,dxsale-network,22.0,0,22,alive,avax_core,1,1,1230,1230,29392.91632,27257151.730110005,27227758.813790005,0.0010783561177278363,8.0,1.0,1,core_eligible,
dypius,Dypius,Yield,,dypius,3.0,0,3,dead,avax_core,1,1,1062,1062,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
dyson,Dyson,Liquidity Manager,parent#sphere,,7.0,0,7,alive,avax_core,1,1,999,1138,0.00121,260415.15786999997,260415.15665999998,4.646426920371646e-09,3.0,1.0,1,core_eligible,
echidna-finance,Echidna Finance,Yield,,echidna,1.0,1,1,dead,avax_core,1,1,1139,1139,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
elasticswap,ElasticSwap,Dexs,,elasticswap,2.0,0,2,dead,avax_core,1,1,1326,1326,1973.83719,4105.51419,2131.6769999999997,0.48077709603532026,0.0,1.0,1,core_eligible,
elk,Elk,Dexs,,elk-finance,31.0,0,31,alive,avax_core,1,1,1635,1635,44098.26108,224439.31577999998,180341.05469999998,0.1964818905580073,6.0,1.0,1,core_eligible,
embr-finance,Embr Finance,Dexs,,embr,1.0,1,1,dead,avax_core,1,1,1527,1527,8754.54513,8754.54513,0.0,1.0,0.0,1.0,1,core_eligible,
emdx,EMDX,Derivatives,,emdx,1.0,1,1,dead,avax_core,1,1,1204,1204,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
emiswap,EmiSwap,Dexs,,emiswap,7.0,0,7,alive,avax_core,1,1,1342,1532,2.00065,33547.838059999995,33545.83740999999,5.963573558516218e-05,2.0,1.0,1,core_eligible,
empiredex,EmpireDEX,Dexs,,,9.0,0,9,alive,avax_core,1,1,1559,1559,24844.37692,2511902.47449,2487058.0975699998,0.009890661429856762,6.0,1.0,1,core_eligible,
envelop,Envelop,NftFi,,,7.0,0,7,dead,avax_core,1,1,711,721,0.0,3790.7761499999997,3790.7761499999997,0.0,0.0,1.0,1,core_eligible,
etha-lend,ETHA Lend,Yield,,etha-lend,2.0,0,2,alive,avax_core,1,1,1207,1440,12.69183,12101.86319,12089.17136,0.0010487500809369173,1.0,1.0,1,core_eligible,
euler-v2,Euler V2,Lending,parent#euler,,16.0,0,16,alive,avax_core,1,1,384,554,16776776.5019,485384537.73118,468607761.22928,0.03456388738775907,15.0,1.0,1,core_eligible,
eulerdebt,EulerDebt,Secondary Debt Markets,,,5.0,0,5,alive,avax_core,1,1,101,101,2990.96478,36241.770800000006,33250.80602,0.08252810814641538,1.0,0.783014,1,core_eligible,
everestdao,EverestDAO,DAO Service Provider,,everest-token,1.0,1,1,dead,avax_core,1,1,650,650,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
excellion-finance,Excellion Finance,Risk Curators,,,1.0,1,1,alive,avax_core,1,1,144,144,29724.8932,29724.8932,0.0,1.0,1.0,0.818356,1,core_eligible,
ferdyflip,FerdyFlip,Luck Games,,,3.0,0,3,dead,avax_core,1,1,997,997,2703.71023,2703.99847,0.2882399999998597,0.999893402306548,0.0,1.0,1,core_eligible,
flair-dex,Flair Dex,Dexs,,flair-dex,1.0,1,1,alive,avax_core,1,1,1081,1081,48764.25991,48764.25991,0.0,1.0,1.0,1.0,1,core_eligible,
flashliquidity,FlashLiquidity,Dexs,,,5.0,0,5,dead,avax_core,1,1,840,1074,0.0,90.27083999999999,90.27083999999999,0.0,0.0,1.0,1,core_eligible,
float,Float,Derivatives,,,2.0,0,2,alive,avax_core,1,1,1551,1620,16525.34508,144420.17794999998,127894.83286999998,0.11442545850983007,2.0,1.0,1,core_eligible,
flokifi-locker,FlokiFi Locker,Token Locker,,floki,15.0,0,15,alive,avax_core,1,1,1061,1061,101116.73974,10830983.07033,10729866.33059,0.00933587829317133,6.0,1.0,1,core_eligible,
folks-finance-xchain,Folks Finance xChain,Lending,parent#folks-finance,,8.0,0,8,alive,avax_core,1,1,504,504,12837445.08387,16691627.98204,3854182.89817,0.7690948478891899,7.0,1.0,1,core_eligible,
fortifi,FortiFi,Yield Aggregator,,,1.0,1,1,alive,avax_core,1,1,678,678,415711.98424,415711.98424,0.0,1.0,1.0,1.0,1,core_eligible,
fortress,Fortress,Reserve Currency,,fortressdao,1.0,1,1,dead,avax_core,1,1,1562,1562,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
